NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Missal;PR;Soja;4;2436;1339,8;0,55;5576,21;178,94;0,0321;89,47;2008;4116059;2326,78; SECA
Missal;PR;Soja;7;2436;1339,8;0,55;8364,31;268,41;0,0321;134,21;2008;4116059;2800,25; SECA
Missal;PR;Soja;14;2436;1339,8;0,55;16705,6;536,07;0,0321;268,04;2008;4116059;2793,28; SECA
Missal;PR;Soja;8;2436;1339,8;0,55;9677,72;310,56;0,0321;155,28;2008;4116059;1946,86; SECA
Nova Santa Rosa;PR;Soja;21;2460,6;1353;0,55;22400,5;718,81;0,0321;359,41;2009;4117222;1564,23; SECA
Palotina;PR;Soja;12;2058;2940;1,43;11900,14;381,87;0,0321;190,94;2008;4117909;2718,87; SECA
Monte Alegre dos Campos;RS;Ameixa;1;17700;17700;1,00;20001;1288,05;0,0644;515,22;2008;4312377;4866,24; GRANIZO
São Miguel do Iguaçu;PR;Soja;36;2511;1381,2;0,55;43117,91;1383,63;0,0321;691,82;2008;4125704;1748,20; SECA
Pederneiras;SP;Cana-de-açúcar;55;0;0;;152215;3044,27;0,0200;1217,71;2008;3536703;52495,80; INCÊNDIO
Missal;PR;Soja;37;2436;1339,8;0,55;42628,06;1367,91;0,0321;683,96;2008;4116059;16864,60; SECA
Itaipulândia;PR;Soja;30;2742;1508,4;0,55;33335,07;1111,54;0,0333;555,77;2008;4110953;11974,86; SECA
Itaipulândia;PR;Soja;44;2742;1508,4;0,55;48078,59;1603,16;0,0333;801,58;2008;4110953;2084,78; SECA
Itaipulândia;PR;Soja;41;2742;1508,4;0,55;53362,04;1712,36;0,0321;856,18;2008;4110953;25473,88; SECA
Itaipulândia;PR;Soja;37;2742;1508,4;0,55;48653,63;1561,26;0,0321;780,63;2008;4110953;23693,94; SECA
Itaipulândia;PR;Soja;54;2742;1508,4;0,55;71183,99;2284,25;0,0321;1142,13;2008;4110953;30890,30; SECA
Foz do Iguaçu;PR;Soja;43;2842,8;1563,6;0,55;58620,31;1881,09;0,0321;940,55;2008;4108304;20922,76; SECA
Foz do Iguaçu;PR;Soja;9;2842,8;1563,6;0,55;13095,46;420,22;0,0321;210,11;2008;4108304;6412,13; SECA
Foz do Iguaçu;PR;Soja;38;2842,8;1563,6;0,55;51978,47;1667,96;0,0321;833,98;2008;4108304;24769,46; SECA
Serranópolis do Iguaçu;PR;Soja;17;2888,4;1588,8;0,55;19355,36;645,39;0,0333;322,7;2008;4126355;972,23; SECA
Serranópolis do Iguaçu;PR;Soja;24;2888,4;1588,8;0,55;32790,25;1052,22;0,0321;526,11;2008;4126355;15056,88; SECA
Serranópolis do Iguaçu;PR;Soja;8;2888,4;1588,8;0,55;11257,99;361,27;0,0321;180,64;2008;4126355;2887,70; SECA
Serranópolis do Iguaçu;PR;Soja;7;2888,4;1588,8;0,55;9919,06;318,29;0,0321;159,15;2008;4126355;4461,05; SECA
Engenheiro Beltrão;PR;Soja;343;2877;1726,2;0,60;509298,4;17628,04;0,0346;8814,02;2008;4107504;158141,54; SECA
Missal;PR;Soja;5;2436;1339,8;0,55;5760,55;184,85;0,0321;92,43;2008;4116059;1515,75; SECA
São Miguel do Iguaçu;PR;Soja;36;2511;1381,2;0,55;43117,92;1383,62;0,0321;691,81;2008;4125704;7546,95; SECA
Jesuítas;PR;Soja;72;2507,4;1379,4;0,55;63412,17;2114,44;0,0333;1057,22;2008;4112751;5848,65; SECA
São Pedro do Ivaí;PR;Soja;15;2717,4;1358,4;0,50;16004,6;469,23;0,0293;234,62;2008;4125803;3534,00; SECA
São Miguel do Iguaçu;PR;Soja;8;2511;1381,2;0,55;9942,06;319,03;0,0321;159,52;2008;4125704;3966,20; SECA
São Miguel do Iguaçu;PR;Soja;18;2511;1381,2;0,55;21844,03;700,96;0,0321;350,48;2008;4125704;9505,05; SECA
Nova Santa Rosa;PR;Milho 2ª safra;60;3480;1830;0,53;40595,5;6495,28;0,1600;3897,17;2008;4117222;1597,20; GRANIZO
Francisco Beltrão;PR;Soja;18;2134,8;1281;0,60;16138,7;570,73;0,0354;285,37;2008;4108403;4435,20; SECA
São Miguel do Iguaçu;PR;Soja;21;2511;1381,2;0,55;24944,24;800,45;0,0321;400,23;2008;4125704;7756,77; SECA
Videira;SC;Feijão;7;2000;2000;1,00;28000;1136,79;0,0406;682,07;2009;4219309;4291,48; GRANIZO
Santa Helena;PR;Soja;26;2362,8;1299,6;0,55;29057,1;932,42;0,0321;466,21;2008;4123501;9894,30; SECA
Peabiru;PR;Soja;57;2823,6;1694,4;0,60;83052,13;2874,63;0,0346;1437,32;2008;4118808;1911,78; SECA
Terra Roxa;PR;Soja;82;2301;1265,4;0,55;79358,6;2466,2;0,0311;1233,1;2008;4127403;28716,60; SECA
Terra Roxa;PR;Soja;83;2301;1265,4;0,55;80512,91;2502,08;0,0311;1251,04;2008;4127403;7273,20; SECA
Terra Roxa;PR;Soja;160;2301;1265,4;0,55;154196,17;4791,91;0,0311;2395,96;2008;4127403;56162,71; SECA
Nova Santa Rosa;PR;Soja;9;2460,6;1353;0,55;9770,64;313,54;0,0321;156,77;2009;4117222;2404,26; SECA
Nova Pádua;RS;Uva;2;20000;20000;1,00;23000;1549,73;0,0674;774,87;2008;4313086;2078,00; GRANIZO
Santa Terezinha de Itaipu;PR;Soja;8;2512,8;1381,8;0,55;8402,64;269,63;0,0321;134,82;2008;4124053;3657,12; SECA
São Miguel do Iguaçu;PR;Soja;14;2511;1381,2;0,55;17223,41;552,69;0,0321;276,35;2008;4125704;7712,69; SECA
São Joaquim;SC;Maçã;3;25000;25000;1,00;90000;11241;0,1249;5620,5;2008;4216503;25727,00; GRANIZO
Medianeira;PR;Soja;19;2822,4;1552,2;0,55;25365,8;813,97;0,0321;406,99;2008;4115804;6993,52; SECA
Medianeira;PR;Soja;12;2822,4;1552,2;0,55;16020,51;514,09;0,0321;257,05;2008;4115804;4711,08; SECA
São Miguel do Iguaçu;PR;Soja;6;2511;1381,2;0,55;7126,93;228,7;0,0321;114,35;2008;4125704;2422,62; SECA
Serranópolis do Iguaçu;PR;Soja;19;2888,4;1588,8;0,55;25958,97;833,01;0,0321;416,51;2008;4126355;8551,19; SECA
São Miguel do Iguaçu;PR;Soja;19;2511;1381,2;0,55;22568,6;724,22;0,0321;362,11;2008;4125704;9305,63; SECA
Barbosa Ferraz;PR;Soja;24;2757;1654,2;0,60;34424,09;1191,51;0,0346;595,76;2008;4102505;9126,00; SECA
Engenheiro Beltrão;PR;Soja;21;2877;1726,2;0,60;32362,8;1120,16;0,0346;560,08;2008;4107504;4471,40; SECA
Serranópolis do Iguaçu;PR;Soja;17;2888,4;1588,8;0,55;24114,49;773,82;0,0321;386,91;2008;4126355;7399,76; SECA
Serranópolis do Iguaçu;PR;Soja;12;2888,4;1588,8;0,55;16518,08;530,06;0,0321;265,03;2008;4126355;6508,77; SECA
Mamborê;PR;Soja;48;2806,2;1543,8;0,55;59767,22;1877,13;0,0314;938,57;2008;4114005;9961,20; GRANIZO
São Miguel do Iguaçu;PR;Soja;145;2511;1381,2;0,55;172471,64;5534,51;0,0321;2767,26;2008;4125704;49574,18; SECA
Urubici;SC;Maçã;3;40000;40000;1,00;105000;9707,6;0,0925;4853,8;2008;4218905;29517,74; GRANIZO
Candói;PR;Soja;13;2763,6;1519,8;0,55;13477,89;549,84;0,0408;274,92;2008;4104428;2835,56; SECA
São Miguel do Iguaçu;PR;Soja;14;2511;1381,2;0,55;16629,49;533,64;0,0321;266,82;2008;4125704;3365,18; SECA
São Miguel do Iguaçu;PR;Soja;15;2511;1381,2;0,55;17817,32;571,75;0,0321;285,88;2008;4125704;3586,20; SECA
São Miguel do Iguaçu;PR;Soja;24;2511;1381,2;0,55;28745,28;922,42;0,0321;461,21;2008;4125704;3111,39; SECA
São Miguel do Iguaçu;PR;Soja;13;2511;1381,2;0,55;16035,59;514,57;0,0321;257,29;2008;4125704;5752,75; SECA
São Miguel do Iguaçu;PR;Soja;10;2511;1381,2;0,55;11021,88;353,69;0,0321;176,85;2008;4125704;5390,49; SECA
Peabiru;PR;Soja;36;2823,6;1694,4;0,60;49201,02;1702,97;0,0346;851,49;2008;4118808;5140,08; SECA
Ramilândia;PR;Soja;16;2401,8;1321,2;0,55;19246,31;617,6;0,0321;308,8;2008;4121257;2469,34; SECA
Nova Campina;SP;Tomate;0;50000;50000;1,00;31500;1329,29;0,0422;531,72;2008;3532827;359,10; GRANIZO
Pouso Redondo;SC;Arroz;65;10000;10000;1,00;261600;10168,74;0,0389;5084,37;2008;4213708;7252,00; GRANIZO
Marilândia do Sul;PR;Pimentão;2;25000;25000;1,00;30000;1392,99;0,0464;557,2;2008;4114906;987,00; GRANIZO
Marilândia do Sul;PR;Tomate;21;79545,4;79545,4;1,00;752499,96;31755,18;0,0422;12702,07;2008;4114906;112874,99; GRANIZO
Mamborê;PR;Milho 1ª safra;109;6775,2;4065;0,60;194957,4;7488,89;0,0384;3744,45;2008;4114005;12181,84; SECA
Foz do Iguaçu;PR;Soja;43;2842,8;1563,6;0,55;58620,31;1881,09;0,0321;940,55;2008;4108304;21672,68; SECA
Santa Terezinha de Itaipu;PR;Soja;12;2512,8;1381,8;0,55;14381,22;461,48;0,0321;230,74;2008;4124053;5322,66; SECA
Santa Terezinha de Itaipu;PR;Soja;21;2512,8;1381,8;0,55;25886,2;830,67;0,0321;415,34;2008;4124053;7707,72; SECA
Nova Cantu;PR;Soja;52;2709;1489,8;0,55;66624,42;2092,5;0,0314;1046,25;2008;4116802;2437,24; GRANIZO
São Miguel do Iguaçu;PR;Soja;35;2511;1381,2;0,55;41953,85;1346,27;0,0321;673,14;2008;4125704;38303,12; CHUVA EXCESSIVA
Sapopema;PR;Soja;113;2012,4;1107;0,55;88127,17;3112,27;0,0353;1556,14;2008;4126207;4810,96; SECA
Sapopema;PR;Soja;65;2012,4;1107;0,55;50626,24;1787,9;0,0353;893,95;2008;4126207;9056,12; SECA
Fênix;PR;Soja;96;2614,8;1568,4;0,60;130591,14;4520,07;0,0346;2260,04;2008;4107702;12320,70; SECA
Campo Mourão;PR;Soja;29;2058;2940;1,43;37677,96;1304,13;0,0346;652,07;2008;4104303;1299,24; CHUVA EXCESSIVA
Serranópolis do Iguaçu;PR;Soja;43;2888,4;1588,8;0,55;59514,3;1909,78;0,0321;954,89;2008;4126355;9779,02; SECA
Santa Terezinha de Itaipu;PR;Soja;60;2512,8;1381,8;0,55;63019,77;2022,27;0,0321;1011,14;2008;4124053;47781,60; SECA
São Miguel do Iguaçu;PR;Soja;21;2511;1381,2;0,55;24944,24;800,45;0,0321;400,23;2008;4125704;9264,78; SECA
São Miguel do Iguaçu;PR;Soja;44;2511;1381,2;0,55;53333,17;1711,43;0,0321;855,72;2008;4125704;6429,23; SECA
Medianeira;PR;Soja;29;2822,4;1552,2;0,55;38716,24;1242,38;0,0321;621,19;2008;4115804;21473,34; SECA
Santa Terezinha de Itaipu;PR;Soja;30;2512,8;1381,8;0,55;35893,63;1151,81;0,0321;575,91;2008;4124053;23413,76; SECA
Engenheiro Beltrão;PR;Soja;25;2877;1726,2;0,60;34938,29;1209,3;0,0346;604,65;2008;4107504;13125,64; SECA
Caçador;SC;Tomate;5;80000;80000;1,00;184384;9735,37;0,0528;3894,15;2008;4203006;13552,22; GRANIZO
Itaipulândia;PR;Soja;11;2742;1508,4;0,55;14579,23;467,83;0,0321;233,92;2008;4110953;7317,46; SECA
Itaipulândia;PR;Soja;32;2742;1508,4;0,55;41506,69;1331,92;0,0321;665,96;2008;4110953;26336,64; SECA
São Miguel do Iguaçu;PR;Soja;27;2511;1381,2;0,55;32807,63;1052,77;0,0321;526,39;2008;4125704;6227,19; SECA
Itaipulândia;PR;Soja;20;2742;1508,4;0,55;26434,57;848,27;0,0321;424,14;2008;4110953;9315,49; SECA
Santa Terezinha de Itaipu;PR;Soja;15;2512,8;1381,8;0,55;18457,88;592,3;0,0321;296,15;2008;4124053;1422,39; SECA
Três Barras do Paraná;PR;Soja;25;2698,8;1618,8;0,60;34810,66;1231,05;0,0354;615,53;2008;4127858;15211,25; SECA
Lindoeste;PR;Soja;19;2440,2;1464;0,60;23921,76;845,97;0,0354;422,99;2008;4113452;2385,64; SECA
Paiçandu;PR;Soja;14;2670;1468,2;0,55;12437,03;451,83;0,0363;225,92;2008;4117503;6744,44; SECA
Nova Cantu;PR;Soja;12;2709;1489,8;0,55;14421,38;452,94;0,0314;226,47;2008;4116802;116,16; GRANIZO
Toledo;PR;Soja;92;2701,2;1485,6;0,55;91122,17;3038,42;0,0333;1519,21;2008;4127700;9788,80; SECA
Campo Bonito;PR;Soja;36;2917,8;1750,8;0,60;54370,39;1922,76;0,0354;961,38;2008;4104055;14564,60; GRANIZO
Santa Helena;PR;Soja;16;2362,8;1299,6;0,55;18931,81;607,51;0,0321;303,76;2008;4123501;3744,07; SECA
Missal;PR;Soja;13;2436;1339,8;0,55;15334,58;492,07;0,0321;246,04;2008;4116059;4034,92; SECA
Missal;PR;Soja;12;2436;1339,8;0,55;13940,53;447,35;0,0321;223,68;2008;4116059;4094,76; SECA
Santa Helena;PR;Soja;15;2362,8;1299,6;0,55;14814,44;475,39;0,0321;237,7;2008;4123501;5517,60; SECA
Santa Helena;PR;Soja;26;2362,8;1299,6;0,55;26172,18;839,85;0,0321;419,93;2008;4123501;8499,08; SECA
Vera Cruz do Oeste;PR;Milho 1ª safra;29;6475,2;3561;0,55;45441,56;1616,04;0,0356;808,02;2008;4128559;8124,93; SECA
Nova Santa Rosa;PR;Soja;24;2460,6;1353;0,55;24683,74;792,09;0,0321;396,05;2009;4117222;9165,60; SECA
Palotina;PR;Soja;20;2554,8;1405,2;0,55;21910,87;703,11;0,0321;351,56;2009;4117909;9060,81; SECA
Missal;PR;Soja;36;2436;1339,8;0,55;42547,42;1365,32;0,0321;682,66;2008;4116059;17880,76; SECA
Missal;PR;Soja;12;2436;1339,8;0,55;14401,37;462,13;0,0321;231,07;2008;4116059;3789,37; SECA
Itaipulândia;PR;Soja;71;2742;1508,4;0,55;92572,91;2970,61;0,0321;1485,31;2008;4110953;41767,86; SECA
Palotina;PR;Soja;10;2554,8;1405,2;0,55;10677,82;342,65;0,0321;171,33;2008;4117909;1869,60; SECA
Itaipulândia;PR;Soja;12;2742;1508,4;0,55;16628,62;533,6;0,0321;266,8;2008;4110953;7028,56; SECA
Itaipulândia;PR;Soja;53;2742;1508,4;0,55;69056,76;2215,99;0,0321;1108;2008;4110953;45740,61; SECA
Serranópolis do Iguaçu;PR;Soja;21;2888,4;1588,8;0,55;29757,16;954,88;0,0321;477,44;2008;4126355;1002,09; SECA
Foz do Iguaçu;PR;Soja;13;2842,8;1563,6;0,55;17532,31;562,6;0,0321;281,3;2008;4108304;7883,72; SECA
Foz do Iguaçu;PR;Soja;7;2842,8;1563,6;0,55;9761,09;313,23;0,0321;156,62;2008;4108304;2909,51; SECA
São Miguel do Iguaçu;PR;Soja;10;2511;1381,2;0,55;11878,21;381,16;0,0321;190,58;2008;4125704;5443,80; SECA
Medianeira;PR;Soja;18;2822,4;1552,2;0,55;21413,46;687,14;0,0321;343,57;2009;4115804;9366,12; SECA
Medianeira;PR;Soja;6;2822,4;1552,2;0,55;7137,82;229,04;0,0321;114,52;2009;4115804;3186,41; SECA
Santa Terezinha de Itaipu;PR;Soja;13;2512,8;1381,8;0,55;15807,46;507,25;0,0321;253,63;2008;4124053;4901,18; SECA
Juranda;PR;Soja;14;2761,2;1380,6;0,50;17241,7;505,5;0,0293;252,75;2008;4112959;1985,43; SECA
Campo Bonito;PR;Milho 1ª safra;26;7521;4512,6;0,60;52559,1;1858,7;0,0354;929,35;2008;4104055;5765,62; SECA
Santa Terezinha de Itaipu;PR;Soja;26;2512,8;1381,8;0,55;31638,68;1015,27;0,0321;507,64;2008;4124053;9649,48; SECA
Santa Terezinha de Itaipu;PR;Soja;16;2512,8;1381,8;0,55;19016,5;610,22;0,0321;305,11;2008;4124053;5104,96; SECA
Quinta do Sol;PR;Soja;70;2713,8;1492,8;0,55;89980,62;2826,06;0,0314;1413,03;2008;4121109;20678,10; SECA
Ramilândia;PR;Soja;33;2401,8;1321,2;0,55;38492,63;1235,21;0,0321;617,61;2008;4121257;14320,73; SECA
São Miguel do Iguaçu;PR;Soja;26;2511;1381,2;0,55;31619,8;1014,66;0,0321;507,33;2008;4125704;17833,80; SECA
Araxá;MG;Café;8;0;0;;43750;1640,63;0,0375;656,25;2008;3104007;3616,20; GRANIZO
Toledo;PR;Soja;10;2701,2;1350,6;0,50;11021,1;306,82;0,0278;153,41;2008;4127700;1277,04; SECA
Farol;PR;Milho 1ª safra;15;6501;3900,6;0,60;25744,95;1010,41;0,0392;505,21;2008;4107553;933,49; SECA
Boa Esperança do Iguaçu;PR;Soja;24;2329,2;1397,4;0,60;23674,5;837,23;0,0354;418,62;2008;4103024;3371,06; SECA
Matelândia;PR;Soja;12;2548,2;1401,6;0,55;14463,85;532,06;0,0368;266,03;2008;4115606;4936,40; SECA
Serranópolis do Iguaçu;PR;Soja;60;2888,4;1588,8;0,55;82658,76;2652,46;0,0321;1326,23;2008;4126355;14828,55; SECA
São Miguel do Iguaçu;PR;Soja;48;2511;1381,2;0,55;57490,55;1844,83;0,0321;922,42;2008;4125704;2330,94; SECA
Assis Chateaubriand;PR;Milho 2ª safra;87;3480;1830;0,53;58377;9340,32;0,1600;5604,19;2008;4102000;18183,00; GEADA
Missal;PR;Soja;58;2436;1339,8;0,55;66914,53;2147,25;0,0321;1073,63;2008;4116059;27921,37; SECA
Missal;PR;Soja;19;2436;1339,8;0,55;22120,5;709,84;0,0321;354,92;2008;4116059;7401,33; SECA
Missal;PR;Soja;15;2436;1339,8;0,55;18122,69;581,55;0,0321;290,78;2008;4116059;4349,18; SECA
Ramilândia;PR;Soja;36;2401,8;1321,2;0,55;30372,09;1012,74;0,0333;506,37;2008;4121257;15849,30; SECA
Monte Belo do Sul;RS;Uva;16;12000;12000;1,00;98250;4106,82;0,0418;2053,41;2008;4312385;11372,20; GRANIZO
Bento Gonçalves;RS;Uva;8;19546,95;19546,95;1,00;96516,99;4197,09;0,0435;2098,55;2008;4302105;3275,37; GRANIZO
Bento Gonçalves;RS;Uva;5;30000;30000;1,00;98532;4118,65;0,0418;2059,33;2008;4302105;3992,21; GRANIZO
Bento Gonçalves;RS;Uva;1;11500;11500;1,00;9972,8;630,28;0,0632;315,14;2008;4302105;789,46; GEADA
Missal;PR;Soja;124;2436;1339,8;0,55;143829,38;4615,4;0,0321;2307,7;2008;4116059;39294,64; SECA
Monte Belo do Sul;RS;Uva;4;16500;16500;1,00;40425;1689,78;0,0418;844,89;2008;4312385;3852,75; GRANIZO
Bento Gonçalves;RS;Uva;6;25000;25000;1,00;84750;5356,22;0,0632;2678,11;2008;4302105;178,31; GRANIZO
Bento Gonçalves;RS;Pêssego;3;15000;15000;1,00;50250;2864,25;0,0570;1145,7;2008;4302105;9780,00; GRANIZO
Bento Gonçalves;RS;Uva;1;43700;43700;1,00;25016,1;1581,01;0,0632;790,51;2008;4302105;746,75; GRANIZO
Bento Gonçalves;RS;Uva;4;20000;20000;1,00;41150;1720,07;0,0418;860,04;2008;4302105;125,05; GRANIZO
São Miguel do Iguaçu;PR;Soja;122;2511;1381,2;0,55;144914,2;4650,21;0,0321;2325,11;2008;4125704;52564,92; SECA
Bento Gonçalves;RS;Uva;8;25000;25000;1,00;102127;4277,27;0,0419;2138,64;2008;4302105;2905,07; GRANIZO
Bento Gonçalves;RS;Uva;14;24000;24000;1,00;190000;7942;0,0418;3971;2008;4302105;5355,00; GRANIZO
São Miguel do Iguaçu;PR;Soja;70;2511;1381,2;0,55;83147,48;2668,16;0,0321;1334,08;2008;4125704;35548,00; SECA
São Miguel do Iguaçu;PR;Soja;3;2511;1381,2;0,55;3563,46;114,35;0,0321;57,18;2008;4125704;1194,54; SECA
São Miguel do Iguaçu;PR;Soja;12;2511;1381,2;0,55;14372,64;461,21;0,0321;230,61;2008;4125704;6092,71; SECA
Campo Bonito;PR;Soja;44;2917,8;1750,8;0,60;59212,06;2093,98;0,0354;1046,99;2008;4104055;14628,86; SECA
Ametista do Sul;RS;Uva;1;20000;20000;1,00;20000;1583,98;0,0792;791,99;2008;4300646;2826,36; GRANIZO
Engenheiro Beltrão;PR;Soja;15;2877;1438,8;0,50;19459,74;570,53;0,0293;285,27;2008;4107504;6405,41; SECA
Chapadão do Lageado;SC;Cebola;4;30000;30000;1,00;39600;2257,17;0,0570;902,87;2008;4204194;94,00; GRANIZO
Assis Chateaubriand;PR;Soja;90;2472,6;1360,2;0,55;105849,77;3396,64;0,0321;1698,32;2008;4102000;60785,23; SECA
São Joaquim;SC;Maçã;1;20000;20000;1,00;9000;1110,32;0,1234;555,16;2008;4216503;4856,40; GRANIZO
Engenheiro Beltrão;PR;Soja;20;2877;1582,2;0,55;28032,91;880,44;0,0314;440,22;2008;4107504;8353,09; SECA
São Miguel do Iguaçu;PR;Soja;24;2511;1381,2;0,55;28745,28;922,42;0,0321;461,21;2008;4125704;7944,68; SECA
Santa Terezinha de Itaipu;PR;Soja;29;2512,8;1381,8;0,55;34514,93;1107,56;0,0321;553,78;2008;4124053;10601,63; SECA
São Miguel do Iguaçu;PR;Soja;24;2511;1381,2;0,55;28982,84;930,04;0,0321;465,02;2008;4125704;6819,80; SECA
São Miguel do Iguaçu;PR;Soja;48;2511;1381,2;0,55;57490,55;1844,83;0,0321;922,42;2008;4125704;15546,56; SECA
São Joaquim;SC;Maçã;2;15000;15000;1,00;15000;1931,32;0,1288;965,66;2008;4216503;3563,59; GRANIZO
Itapeva;SP;Feijão;196;3000;3000;1,00;782040;28857,28;0,0369;17314,37;2008;3522406;121152,00; GRANIZO
São Miguel do Iguaçu;PR;Soja;10;2511;1381,2;0,55;12531,52;402,12;0,0321;201,06;2008;4125704;4069,24; SECA
São Miguel do Iguaçu;PR;Soja;4;2511;1381,2;0,55;5796,56;186,01;0,0321;93,01;2008;4125704;2692,24; SECA
São Miguel do Iguaçu;PR;Soja;7;2511;1381,2;0,55;8433,53;270,62;0,0321;135,31;2008;4125704;3242,28; SECA
São Miguel do Iguaçu;PR;Soja;27;2511;1381,2;0,55;32071,18;1029,14;0,0321;514,57;2008;4125704;8034,12; SECA
Leoberto Leal;SC;Cebola;2;28600;28600;1,00;27456;1564,99;0,0570;626;2008;4209805;486,38; GRANIZO
Mato Rico;PR;Milho 1ª safra;14;4125;2062,8;0,50;9982,5;338,37;0,0339;169,19;2008;4115739;4332,76; SECA
Candido Mota;SP;Soja;53;2380,8;1547,4;0,65;67558,36;2365,58;0,0350;1182,79;2008;3510005;17004,31; SECA
Candido Mota;SP;Milho 1ª safra;24;6664,8;3999;0,60;35484,47;1488;0,0419;744;2008;3510005;6553,84; SECA
São Miguel do Iguaçu;PR;Soja;16;2511;1381,2;0,55;19005,14;609,87;0,0321;304,94;2008;4125704;6735,52; SECA
Lindoeste;PR;Soja;9;2440,2;1464;0,60;11331,36;400,72;0,0354;200,36;2008;4113452;2360,70; SECA
Lindoeste;PR;Soja;38;2440,2;1464;0,60;47843,52;1691,94;0,0354;845,97;2008;4113452;9264,78; SECA
Marechal Cândido Rondon;PR;Soja;10;2258,4;1129,2;0,50;9033;251,47;0,0278;125,74;2008;4114609;728,00; SECA
Manduri;SP;Soja;111;2058;2940;1,43;137480,2;4813,91;0,0350;2406,96;2008;3528601;2490,58; CHUVA EXCESSIVA
Juranda;PR;Soja;77;2761,2;1656,6;0,60;110346,88;3819,38;0,0346;1909,69;2008;4112959;17681,86; SECA
Maripá;PR;Soja;74;2526;1389,6;0,55;78141,96;2507,53;0,0321;1253,77;2009;4115358;26657,76; SECA
Santa Terezinha de Itaipu;PR;Soja;20;2512,8;1381,8;0,55;24364,88;781,86;0,0321;390,93;2008;4124053;3032,36; SECA
Missal;PR;Soja;12;2436;1339,8;0,55;12217,72;392,05;0,0321;196,03;2008;4116059;3734,64; SECA
Lindoeste;PR;Soja;12;2440,2;1342,2;0,55;12667,4;393,66;0,0311;196,83;2008;4113452;2204,05; SECA
São Miguel do Iguaçu;PR;Soja;12;2511;1381,2;0,55;15085,33;484,08;0,0321;242,04;2008;4125704;3997,45; SECA
Santa Terezinha de Itaipu;PR;Soja;57;2512,8;1381,8;0,55;68708,96;2204,82;0,0321;1102,41;2008;4124053;28214,16; SECA
Missal;PR;Soja;12;2436;1339,8;0,55;14528,1;466,19;0,0321;233,1;2008;4116059;4603,53; SECA
Nova Cantu;PR;Soja;108;2709;1625,4;0,60;152211,17;5268,39;0,0346;2634,2;2008;4116802;41395,06; SECA
São Jorge D'Oeste;PR;Soja;19;2049;1229,4;0,60;16660,82;589,19;0,0354;294,6;2008;4125209;8314,15; SECA
Candido Mota;SP;Soja;44;2380,8;1547,4;0,65;40413,93;1442,47;0,0357;721,24;2008;3510005;28659,52; SECA
Pato Bragado;PR;Soja;30;2055;1130,4;0,55;27581,45;857,14;0,0311;428,57;2008;4118451;6612,40; SECA
Pimenta;MG;Tomate;1;80000;80000;1,00;53132,2;2242,18;0,0422;896,87;2008;3150505;2816,02; GRANIZO
Medianeira;PR;Soja;21;2822,4;1552,2;0,55;29077,22;933,07;0,0321;466,54;2008;4115804;11060,53; SECA
Missal;PR;Soja;24;2436;1339,8;0,55;27881,05;894,68;0,0321;447,34;2008;4116059;12913,84; SECA
Candido Mota;SP;Milho 1ª safra;14;6664,8;3999;0,60;21290,68;892,8;0,0419;446,4;2008;3510005;13624,65; SECA
Candido Mota;SP;Soja;26;2380,8;1547,4;0,65;33779,17;1182,79;0,0350;591,4;2008;3510005;21359,08; SECA
São Miguel do Iguaçu;PR;Soja;7;2511;1381,2;0,55;8314,75;266,81;0,0321;133,41;2008;4125704;2368,87; SECA
Lindoeste;PR;Soja;10;2440,2;1464;0,60;12590,4;445,25;0,0354;222,63;2008;4113452;5418,00; SECA
Lindoeste;PR;Soja;8;2440,2;1464;0,60;10072,32;356,19;0,0354;178,1;2008;4113452;3835,60; SECA
Lindoeste;PR;Soja;10;2440,2;1464;0,60;12590,4;445,25;0,0354;222,63;2008;4113452;5031,00; SECA
Iretama;PR;Soja;21;2058;2940;1,43;26880,88;844,26;0,0314;422,13;2008;4110805;6107,11; SECA
Assis Chateaubriand;PR;Soja;9;2472,6;1360,2;0,55;8096,61;269,98;0,0333;134,99;2008;4102000;2293,22; SECA
Missal;PR;Soja;20;2436;1339,8;0,55;24044,53;771,58;0,0321;385,79;2008;4116059;7430,55; SECA
Missal;PR;Soja;32;2436;1339,8;0,55;37097,92;1190,45;0,0321;595,23;2008;4116059;6687,62; SECA
São Miguel do Iguaçu;PR;Soja;36;2511;1381,2;0,55;38104,2;1222,74;0,0321;611,37;2008;4125704;6759,09; SECA
Foz do Iguaçu;PR;Soja;89;2842,8;1563,6;0,55;120386,76;3863,14;0,0321;1931,57;2008;4108304;84935,85; SECA
São Pedro do Ivaí;PR;Soja;203;2717,4;1630,2;0,60;220945,03;8060,48;0,0365;4030,24;2008;4125803;94077,98; SECA
Assis;SP;Soja;13;2160;1296;0,60;13592,45;414,4;0,0305;207,2;2008;3504008;2611,51; SECA
Assis;SP;Soja;29;2160;1080;0,50;23836,03;617,46;0,0259;308,73;2008;3504008;2372,57; SECA
