NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Quarto Centenário;PR;Milho 2ª safra;94;3571,8;1964,4;0,55;55621,8;9733,81;0,1750;6813,67;2011;4120655;23359,05; GEADA
São Marcos;RS;Uva;2;23333,33;23333,33;1,00;35850;1310,91;0,0366;786,55;2010;4319000;16248,03; GRANIZO
Bento Gonçalves;RS;Uva;4;24163,36;24163,36;1,00;71806,23;2625,68;0,0366;1575,41;2010;4302105;1138,19; GRANIZO
Fagundes Varela;RS;Uva;2;10000;10000;1,00;16224;593,26;0,0366;355,96;2010;4307864;6476,75; GRANIZO
Bento Gonçalves;RS;Uva;6;27142,86;27142,86;1,00;120462;4404,85;0,0366;2642,91;2010;4302105;10765,19; GRANIZO
Vacaria;RS;Maçã;23;43066,67;43066,67;1,00;579170;54470,39;0,0940;32682,23;2010;4322509;120108,72; GRANIZO
Protásio Alves;RS;Maçã;8;25000;25000;1,00;140000;8423,8;0,0602;5054,28;2010;4315172;34947,50; GRANIZO
Monte Belo do Sul;RS;Uva;10;21445,42;21445,42;1,00;284600,26;6360,73;0,0223;3816,44;2010;4312385;1056,00; GRANIZO
Cotiporã;RS;Uva;2;26428,57;26428,57;1,00;42396;1550,28;0,0366;930,17;2010;4305959;793,62; GRANIZO
Bento Gonçalves;RS;Uva;7;26600;26600;1,00;181225,72;6626,76;0,0366;3976,06;2010;4302105;4359,40; GRANIZO
Monte Belo do Sul;RS;Uva;5;17633,33;17633,33;1,00;74856;2737,2;0,0366;1642,32;2010;4312385;5128,00; QUEDA DE PARREIRAL
Bento Gonçalves;RS;Uva;5;30625;30625;1,00;167434,08;6122,44;0,0366;3673,46;2010;4302105;22080,62; GRANIZO
Monte Alegre dos Campos;RS;Uva;1;16000;16000;1,00;11200;444,64;0,0397;266,78;2010;4312377;2328,48; GRANIZO
Vacaria;RS;Maçã;8;40000;40000;1,00;211380;19880,09;0,0940;11928,05;2010;4322509;1200,16; GRANIZO
Angatuba;SP;Floresta;101;0;0;;901000;9170,18;0,0102;2751,05;2010;3502200;20520,00; SECA
Vila Flores;RS;Uva;2;29333,33;29333,33;1,00;68112;2490,61;0,0366;1494,37;2010;4323309;8421,41; GRANIZO
Campestre da Serra;RS;Uva;3;20000;20000;1,00;39000;1548,28;0,0397;928,97;2010;4303673;14141,41; GRANIZO
Fagundes Varela;RS;Uva;1;18800;18800;1,00;18840;688,92;0,0366;413,35;2010;4307864;4380,74; GRANIZO
Muitos Capões;RS;Maçã;6;30000;30000;1,00;108000;10157,29;0,0940;6094,37;2010;4312617;20538,90; GRANIZO
Fagundes Varela;RS;Uva;8;11333,33;11333,33;1,00;70392;2573,97;0,0366;1544,38;2010;4307864;6536,91; GRANIZO
Garibaldi;RS;Uva;4;20000;20000;1,00;46400;1842,06;0,0397;1105,24;2010;4308607;2538,28; GRANIZO
Garibaldi;RS;Uva;4;21714,29;21714,29;1,00;56552,4;2067,92;0,0366;1240,75;2010;4308607;46,00; GRANIZO
Protásio Alves;RS;Maçã;10;30000;30000;1,00;210000;12635,7;0,0602;7581,42;2010;4315172;55028,40; GRANIZO
Candido Mota;SP;Milho 2ª safra;26;3300;1485;0,45;14494,59;2536,55;0,1750;1775,59;2011;3510005;6061,37; GEADA
Fagundes Varela;RS;Uva;7;20777,78;20777,78;1,00;119856;4382,7;0,0366;2629,62;2010;4307864;1451,95; GRANIZO
Veranópolis;RS;Uva;7;23400;23400;1,00;83650;3320,9;0,0397;1992,54;2010;4322806;2173,50; GRANIZO
Fagundes Varela;RS;Uva;4;18750;18750;1,00;49068;1794,23;0,0366;1076,54;2010;4307864;7648,38; GRANIZO
Bento Gonçalves;RS;Uva;4;17356;17356;1,00;48288,96;1765,73;0,0366;1059,44;2010;4302105;537,53; GRANIZO
Quarto Centenário;PR;Milho 2ª safra;29;3572;1980;0,55;17114,4;2995,02;0,1750;2096,51;2011;4120655;2938,47; GEADA
Fagundes Varela;RS;Uva;4;22000;22000;1,00;88860;3249,28;0,0366;1949,57;2010;4307864;10843,37; GRANIZO
